	qml_model	noise_model	probability|miscalibration	aml_attack	epsilon	accuracy
273	pqc	phase-flip	0.08	pgd	0.7	52.173912525177
274	pqc	phase-flip	0.08	pgd	0.9	54.037266969680786
275	pqc	phase-flip	0.1	none	0	44.099378881987576
276	pqc	phase-flip	0.1	fgsm	0.1	50.93167424201965
277	pqc	phase-flip	0.1	fgsm	0.3	61.49068474769592
278	pqc	phase-flip	0.1	fgsm	0.5	55.279505252838135
279	pqc	phase-flip	0.1	fgsm	0.7	54.65838313102722
280	pqc	phase-flip	0.1	fgsm	0.9	55.90062141418457
281	pqc	phase-flip	0.1	pgd	0.1	47.204968333244324
282	pqc	phase-flip	0.1	pgd	0.3	49.68944191932678
283	pqc	phase-flip	0.1	pgd	0.5	58.38509202003479
284	pqc	phase-flip	0.1	pgd	0.7	52.173912525177
285	pqc	phase-flip	0.1	pgd	0.9	54.037266969680786
286	pqc	coherent	2.0	none	0	63.35403726708074
287	pqc	coherent	2.0	fgsm	0.1	47.204968333244324
288	pqc	coherent	2.0	fgsm	0.3	37.88819909095764
289	pqc	coherent	2.0	fgsm	0.5	35.40372550487518
290	pqc	coherent	2.0	fgsm	0.7	35.40372550487518
291	pqc	coherent	2.0	fgsm	0.9	36.02484464645386
292	pqc	coherent	2.0	pgd	0.1	49.06832277774811
293	pqc	coherent	2.0	pgd	0.3	38.509318232536316
294	pqc	coherent	2.0	pgd	0.5	33.54037404060364
295	pqc	coherent	2.0	pgd	0.7	38.509318232536316
296	pqc	coherent	2.0	pgd	0.9	40.993788838386536
297	pqc	coherent	4.0	none	0	63.975155279503106
298	pqc	coherent	4.0	fgsm	0.1	53.41615080833435
299	pqc	coherent	4.0	fgsm	0.3	39.13043439388275
300	pqc	coherent	4.0	fgsm	0.5	34.16149020195007
301	pqc	coherent	4.0	fgsm	0.7	33.54037404060364
302	pqc	coherent	4.0	fgsm	0.9	34.78260934352875
303	pqc	coherent	4.0	pgd	0.1	47.826087474823
304	pqc	coherent	4.0	pgd	0.3	35.40372550487518
305	pqc	coherent	4.0	pgd	0.5	31.677019596099854
306	pqc	coherent	4.0	pgd	0.7	40.37266969680786
307	pqc	coherent	4.0	pgd	0.9	41.61490797996521
308	pqc	coherent	6.0	none	0	57.14285714285714
309	pqc	coherent	6.0	fgsm	0.1	60.248446464538574
310	pqc	coherent	6.0	fgsm	0.3	59.0062141418457
311	pqc	coherent	6.0	fgsm	0.5	52.79502868652344
312	pqc	coherent	6.0	fgsm	0.7	49.06832277774811
313	pqc	coherent	6.0	fgsm	0.9	49.68944191932678
314	pqc	coherent	6.0	pgd	0.1	55.90062141418457
315	pqc	coherent	6.0	pgd	0.3	50.31055808067322
316	pqc	coherent	6.0	pgd	0.5	44.720497727394104
317	pqc	coherent	6.0	pgd	0.7	50.93167424201965
318	pqc	coherent	6.0	pgd	0.9	48.447203636169434
319	pqc	coherent	8.0	none	0	51.5527950310559
320	pqc	coherent	8.0	fgsm	0.1	56.521737575531006
321	pqc	coherent	8.0	fgsm	0.3	57.14285969734192
322	pqc	coherent	8.0	fgsm	0.5	50.93167424201965
323	pqc	coherent	8.0	fgsm	0.7	48.447203636169434
324	pqc	coherent	8.0	fgsm	0.9	47.204968333244324
325	pqc	coherent	8.0	pgd	0.1	51.552796363830566
326	pqc	coherent	8.0	pgd	0.3	54.037266969680786
327	pqc	coherent	8.0	pgd	0.5	50.31055808067322
328	pqc	coherent	8.0	pgd	0.7	50.31055808067322
329	pqc	coherent	8.0	pgd	0.9	49.06832277774811
330	pqc	coherent	10.0	none	0	49.06832298136646
331	pqc	coherent	10.0	fgsm	0.1	50.93167424201965
332	pqc	coherent	10.0	fgsm	0.3	55.90062141418457
333	pqc	coherent	10.0	fgsm	0.5	63.35403919219971
334	pqc	coherent	10.0	fgsm	0.7	60.86956262588501
335	pqc	coherent	10.0	fgsm	0.9	57.14285969734192
336	pqc	coherent	10.0	pgd	0.1	50.31055808067322
337	pqc	coherent	10.0	pgd	0.3	52.79502868652344
338	pqc	coherent	10.0	pgd	0.5	56.521737575531006
339	pqc	coherent	10.0	pgd	0.7	55.90062141418457
340	pqc	coherent	10.0	pgd	0.9	56.521737575531006
